Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2023-01-02,IDEA,EQ,7.9,7.9,8.1,7.85,8.05,8.0,7.95,48081381,38214741820000.0,88527,22681731,0.4717
2023-01-03,IDEA,EQ,8.0,8.05,8.15,7.9,8.0,7.95,8.03,108858208,87372850950000.0,61851,38454747,0.3533
