Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2023-01-02,TATASTEEL,EQ,112.65,114.4,119.7,113.75,119.1,119.25,117.82,143444095,1689993820960000.0,481935,47023511,0.32780000000000004
2023-01-03,TATASTEEL,EQ,119.25,119.8,120.5,117.75,118.5,118.45,119.04,74419090,885904258645000.1,279140,20027658,0.2691
